Date,Open,High,Low,Close,Volume
22-Nov-16,138.29,141.56,137.64,141.31,2694903
21-Nov-16,136.00,137.88,135.68,137.36,1204086
18-Nov-16,137.39,137.59,135.00,135.35,2188565
17-Nov-16,138.45,138.72,136.89,137.88,1505348
16-Nov-16,138.37,139.37,137.90,138.39,1391497
15-Nov-16,140.02,142.62,136.82,138.42,2502226
14-Nov-16,133.80,138.75,132.65,138.60,2130205
11-Nov-16,133.55,135.01,131.38,133.68,2669271
10-Nov-16,129.56,133.98,129.23,133.86,2999445
9-Nov-16,120.40,129.73,118.42,128.75,4356413
8-Nov-16,123.19,127.42,122.43,126.84,1806504
7-Nov-16,121.03,123.93,120.35,123.49,2221666
4-Nov-16,120.67,121.24,119.17,119.29,1761661
3-Nov-16,123.48,124.58,119.69,120.03,2069930
2-Nov-16,117.76,123.87,114.85,122.99,3477535
1-Nov-16,122.44,122.44,116.88,117.42,2847729
31-Oct-16,122.35,123.00,121.44,121.86,1304258
28-Oct-16,123.10,123.13,121.45,121.62,1948179
27-Oct-16,124.00,124.59,122.74,123.49,1352084
26-Oct-16,124.47,125.04,123.78,124.17,1200446
25-Oct-16,124.37,125.45,123.81,124.50,941775
24-Oct-16,124.23,124.94,123.86,124.49,851744
21-Oct-16,123.05,123.72,121.92,123.50,1228116
20-Oct-16,123.78,125.57,123.35,124.03,1238929
19-Oct-16,123.24,124.12,122.63,123.83,1170511
18-Oct-16,120.02,123.77,119.66,123.15,2282934
17-Oct-16,120.38,120.95,117.50,118.28,3201091
14-Oct-16,121.18,121.81,120.76,121.09,1280818
13-Oct-16,120.32,121.28,119.79,121.00,1606591
12-Oct-16,122.05,122.50,120.17,120.85,1934091
11-Oct-16,124.68,124.79,121.55,121.90,1281359
10-Oct-16,122.34,124.94,122.34,124.80,1363028
7-Oct-16,122.28,122.74,120.78,121.90,1699220
6-Oct-16,122.13,122.78,121.55,122.35,1519981
5-Oct-16,122.44,122.57,120.97,122.07,1967847
4-Oct-16,123.22,123.95,121.71,122.44,1598026
3-Oct-16,124.74,125.32,122.58,122.90,1777989
30-Sep-16,125.38,125.83,124.01,125.31,1968246
29-Sep-16,127.19,127.19,124.88,124.93,1027207
28-Sep-16,126.70,127.90,126.24,127.37,1079114
27-Sep-16,125.09,126.34,124.40,126.30,1071363
26-Sep-16,126.00,126.48,124.86,125.08,1005859
23-Sep-16,127.80,128.42,126.44,126.56,1224915
22-Sep-16,128.82,129.62,127.84,128.42,1096265
21-Sep-16,126.56,128.75,126.08,128.59,1464664
20-Sep-16,126.47,126.93,124.98,125.76,1773048
19-Sep-16,125.39,126.71,125.14,126.32,1570073
16-Sep-16,124.37,126.69,123.87,125.52,1742970
15-Sep-16,123.21,124.89,122.96,124.34,1404148
14-Sep-16,124.40,125.00,122.52,123.29,1879936
13-Sep-16,126.22,127.00,123.95,124.57,2282261
12-Sep-16,126.39,128.86,125.59,128.58,1628567
9-Sep-16,126.93,128.18,126.52,126.89,2052326
8-Sep-16,125.70,127.76,125.70,127.67,2126475
7-Sep-16,123.72,125.89,123.10,125.85,1916753
6-Sep-16,124.10,124.90,123.76,124.29,1390256
2-Sep-16,123.51,124.32,123.02,124.24,1212576
1-Sep-16,124.90,125.72,123.18,123.36,1985043
