Date,Open,High,Low,Close,Volume
22-Nov-16,109.46,109.78,109.34,109.47,1390997
21-Nov-16,109.35,109.69,109.28,109.37,1392261
18-Nov-16,109.19,109.90,109.09,109.35,2573806
17-Nov-16,109.20,109.43,109.04,109.30,2830294
16-Nov-16,109.40,109.92,109.10,109.20,3990955
15-Nov-16,109.01,109.87,109.01,109.49,5719964
14-Nov-16,110.43,110.85,109.42,109.72,13192093
11-Nov-16,86.85,87.97,86.53,87.65,1177022
10-Nov-16,86.24,88.17,85.77,87.23,1151000
9-Nov-16,83.93,86.00,83.50,85.12,1013268
8-Nov-16,83.91,86.77,83.03,85.63,796348
7-Nov-16,84.00,85.42,83.76,84.45,994142
4-Nov-16,80.86,84.18,80.77,82.33,1039711
3-Nov-16,81.76,82.96,79.40,80.76,1537576
2-Nov-16,78.48,79.45,77.41,77.91,803203
1-Nov-16,79.98,80.50,77.55,78.89,790971
31-Oct-16,78.87,80.00,78.64,79.71,694536
28-Oct-16,77.60,79.48,77.47,78.53,676748
27-Oct-16,79.92,79.92,77.50,77.58,895450
26-Oct-16,78.00,79.72,78.00,78.82,507771
25-Oct-16,79.65,79.70,77.62,78.17,694128
24-Oct-16,80.75,81.13,80.03,80.36,328996
21-Oct-16,79.08,80.11,79.02,80.01,566188
20-Oct-16,79.82,80.73,79.75,80.08,546786
19-Oct-16,80.00,80.71,79.38,80.19,513987
18-Oct-16,80.92,80.92,79.69,79.79,409678
17-Oct-16,80.48,81.12,79.75,79.88,453725
14-Oct-16,80.26,81.25,80.14,80.24,576571
13-Oct-16,80.39,80.39,78.62,79.37,716279
12-Oct-16,81.77,82.17,81.32,81.49,360194
11-Oct-16,83.66,83.87,81.23,81.66,560606
10-Oct-16,84.42,84.95,83.85,84.25,425267
7-Oct-16,84.24,84.42,82.71,83.70,614496
6-Oct-16,84.40,84.40,82.63,83.99,658600
5-Oct-16,83.65,85.41,83.37,84.55,729258
4-Oct-16,84.88,84.93,83.05,83.25,524340
3-Oct-16,84.16,84.88,84.00,84.82,491060
30-Sep-16,83.67,84.82,83.06,84.45,704992
29-Sep-16,83.95,84.64,82.80,83.16,542026
28-Sep-16,83.31,84.21,82.06,84.02,692467
